******* compevo *******
---owl:Class---
b69dbb56_2192_4294_a7cb_e08883834e8d|Prepreg
b90b44cc_ce83_4ec4_9fbc_91c7c5b66f6d|CoverReleaseLayer
bfa41068_83ee_4030_b637_70b95bc83d59|Laminate
c0a6d6dc_0b0d_40e4_a5f8_d47f3c0b41bb|CoverTool
c41436ae_1a8b_4445_8c15_733279619ae2|TextileFabric
c5e28d26_7adf_491b_a7fb_06ed0e0a3ee5|ManufacturingLine
d0ba5de7_9cd4_4890_80ee_c153e73382c6|Resin
d33042c6_e9a1_4a45_ad75_74bef95173d9|ReleaseLayer
d7df517c_b14a_477b_a0ad_4579cf35d052|FormulatedResin
dcf3c256_a90b_4e11_b773_7d79158926b0|PrepregLine
fb578222_b41f_47c3_8109_8ddc4dd868e1|StackedPrepreg
02af4a99_b01b_4363_879a_f22b06e46e77|Composite
0385b052_31a5_4a4b_9c0b_c1660361dd38|ComponentManufacturing
1b753d41_0ee4_4119_914e_8aa0fe635004|ResinIngredient
2e0c46d9_ebb5_4044_a972_89f7504586f9|ComponentManufacturingLine
365ca26c_a1b4_4279_adaf_722e86d75664|ResinPreparation
4afa0aec_8d0c_4321_91dd_bc1578695b0d|Additive
4e9a6250_493e_495b_9843_2897f9000cde|MouldReleaseLayer
45ed7ba3_f68c_416c_8fdb_397992c5d7dc|PrepregRoll
5c4695ff_9654_4114_99b6_05b608e02176|CompositeLaminate
5ef6a3b4_8c85_436b_92d4_b64249dd2ed7|CompositeLaminate
5f75da55_e11b_48fb_bf65_97e65be81ec4|Catalyst
62a969ae_e80f_4506_b5b0_5f921aef4d90|ResinMixer
651b37d4_8319_4bc1_b0e1_9ea733a161cb|PrepregPiece
7504d55f_ebb9_4003_a217_0681c1a68c0b|ShapingAndCuring
86ae1b83_f4a3_4300_8945_df8f35bed4d1|MouldTool
9df141d9_aee1_469f_989a_9d35dbf98528|Prepregging
926dab75_73c6_420b_856b_23bdf03e9ea0|Stacking
---owl:ObjectProperty---
---owl:DatatypeProperty---
---owl:AnnotationProperty---
