******* pgbs *******
---owl:Class---
afa509dd_3b8f_4d54_9368_15cd1fcbf363|ComponentPerformance
b0da5c05_b93c_4bb1_9714_87f30191f86c|PresenceOnTheShelf
b45b2ae9_6be4_4941_978e_61761a6aad3e|Retailer
d16f3270_d78f_4fc0_8207_1f8869a1a577|PackageType
f564ad8d_b733_4e71_81a3_4f15d71dfaa8|DissolutionTime
fa38481a_4e0a_4749_95a2_53a9fa19d19f|ProductSize
08e1b3d8_0b41_4c8c_9108_9ef058d40f9c|PerfumeType
30a8b2ad_77a0_46da_a1fb_a06d3b8e6774|Country
31071700_6fe0_4daa_bf28_1d81e88d3696|PerfumeLevel
342276a1_f2f0_4c96_bedb_7001a9dd0a35|PerfumeBoostTechnology
460ac713_0cce_486b_af64_717fc26dcf6c|Price
923660db_cc73_4b5a_9160_b2517c6b268d|SalesVolume
a1f4e5a6_6bc4_49fc_9b2f_3a2de7cc2e37|Film
b54b505f_8db4_45ff_a437_5aed84a885a0|Top2Compartment
bc7641d2_f8e8_4a08_ac37_0ecef2f8196c|WaterSolubleCapsulePart
c28bcee9_43a1_47ff_aad9_c3f417383055|Consumer
c7f97beb_d338_4129_9ea9_c93aafef567c|Formula
cbb1b98d_7b3f_4158_8fcf_53f47c792c31|BottomCompartment
1bc673d5_1889_494c_8771_0f0563140f08|Top1Compartment
2d3660ed_e580_4587_b182_571ba3e2380f|WhitebaseStorage
2738f496_022d_41d7_b97d_a27678ac0143|CapsuleEnvelope
37b56589_17b5_4498_be96_aad5f67dc03b|Storage
4e92a552_0b1e_43ec_adb2_12aa6c529245|PlasticBag
412bf128_022e_4182_b9eb_74f6c0d5ec79|Whitebase
51fab3dc_2e31_4415_953d_f7626c7c2836|CommercialLaundryProduct
56014eda_5080_4a55_8991_818ddf8b91fe|Package
611e7aef_852a_483a_93c5_5ecedfe23e8f|Commercialisation
7e11a0eb_4b9a_4b80_b9d2_d6c2cb664b1a|SolubleCapsuleManufacturing
83563e8b_6cd7_4a80_88eb_64e602ade035|WaterSolubleCapsule
85ad644f_ab61_4af7_8f59_511c434a6041|PGBSDetergentPrecursor
8948c7ce_4a97_4485_997c_c5dcd3a4d90e|LaundryProductCommercialisation
947b4609_7905_41c8_b8e9_060dc3535c20|Bag
9663e11b_f945_4cfd_b3c2_11d63444b398|Ingredient
---owl:ObjectProperty---
06e90dd3_0c18_4606_8b76_2a478502f474|hasCommercialisedProduct
---owl:DatatypeProperty---
---owl:AnnotationProperty---
